price,maintenance,doors,seats,storage,safety,shouldBuy
med,low,3,more,small,high,unacc
high,vhigh,3,2,big,low,unacc
med,vhigh,3,more,med,low,unacc
low,low,2,4,med,high,unacc
low,low,5more,4,med,low,acc
med,vhigh,2,4,med,med,unacc
high,vhigh,5more,more,small,high,unacc
high,vhigh,,2,big,low,unacc
high,low,3,2,small,med,unacc
low,vhigh,5more,4,big,,unacc
low,high,5more,2,big,low,unacc
med,vhigh,4,more,med,med,unacc
med,med,4,2,big,high,acc
vhigh,high,2,4,small,med,unacc
vhigh,low,null,more,big,high,acc
vhigh,low,5more,4,med,med,unacc
med,high,5more,more,big,high,acc
high,vhigh,3,2,big,med,unacc
,vhigh,3,more,small,high,unacc
med,low,5more,4,big,low,unacc
low,high,3,more,big,low,unacc
high,vhigh,3,2,big,high,unacc
vhigh,med,5more,2,med,low,acc
low,high,5more,4,small,low,null
high,low,4,4,small,high,unacc
high,vhigh,4,more,med,high,unacc
low,vhigh,5more,4,small,high,unacc
vhigh,vhigh,4,4,small,high,unacc
vhigh,low,4,more,big,med,unacc
low,low,2,more,small,high,unacc
low,high,NaN,more,small,low,unacc
low,med,5more,4,big,high,acc
med,med,5more,2,small,high,acc
high,low,3,4,big,high,unacc
vhigh,high,4,4,med,low,unacc
vhigh,high,3,more,big,low,unacc
low,low,2,more,NaN,high,unacc
high,low,3,,med,high,unacc
low,vhigh,5more,more,big,med,unacc
high,med,3,more,med,med,unacc
low,vhigh,2,more,big,med,unacc
low,low,2,more,small,low,unacc
high,high,5more,2,small,low,acc
vhigh,med,2,more,small,med,acc
vhigh,high,2,2,,NaN,
med,low,4,more,med,low,unacc
high,med,3,4,med,med,unacc
vhigh,low,5more,more,med,med,unacc
vhigh,high,5more,more,med,high,unacc
high,low,3,more,big,,unacc
vhigh,vhigh,3,more,small,high,acc
high,med,5more,more,small,med,acc
vhigh,low,3,4,med,low,unacc
low,med,3,2,,med,unacc
high,med,2,more,med,med,unacc
high,high,3,more,med,low,unacc
vhigh,vhigh,3,more,small,high,unacc
high,vhigh,5more,4,big,low,acc
med,low,4,2,med,high,unacc
med,med,4,2,,med,unacc
high,vhigh,3,4,big,med,unacc
med,low,5more,more,big,high,unacc
vhigh,low,4,2,big,low,unacc
vhigh,high,,4,big,low,acc
high,med,4,4,med,high,
vhigh,high,3,null,med,high,unacc
vhigh,low,4,2,small,high,unacc
med,high,2,more,small,high,unacc
vhigh,vhigh,5more,4,med,high,unacc
vhigh,med,2,2,small,high,
med,high,5more,4,small,high,acc
low,med,2,more,small,high,unacc
high,med,NaN,2,med,med,acc
high,high,4,more,small,med,unacc
low,low,3,2,med,med,unacc
med,low,4,2,small,high,unacc
med,low,4,more,big,high,unacc
vhigh,vhigh,2,more,med,high,acc
vhigh,low,4,2,med,med,acc
high,vhigh,4,4,med,high,unacc
high,null,3,2,med,low,unacc
med,vhigh,3,4,med,med,unacc
vhigh,med,4,more,big,med,unacc
med,med,2,4,big,high,vgood
low,high,5more,4,med,high,unacc
high,med,4,4,,med,unacc
high,high,2,more,big,med,vgood
med,vhigh,5more,2,big,med,unacc
vhigh,low,5more,4,med,high,unacc
vhigh,high,3,4,med,med,acc
low,low,5more,2,med,med,unacc
low,low,3,4,med,med,acc
low,vhigh,4,more,small,low,unacc
med,low,2,2,med,high,unacc
high,high,2,4,big,med,
med,low,5more,4,small,med,acc
med,null,5more,2,big,med,unacc
vhigh,med,2,2,small,high,good
low,high,5more,more,small,med,unacc
high,vhigh,4,more,small,med,unacc
low,high,4,4,big,low,acc
low,med,4,null,med,med,null
low,low,5more,more,small,med,acc
,vhigh,5more,more,big,med,unacc
vhigh,null,2,4,NaN,med,unacc
high,high,4,4,small,low,NaN
NaN,low,3,4,med,med,unacc
vhigh,med,3,4,big,high,acc
high,low,2,4,null,high,unacc
high,vhigh,4,4,med,med,unacc
med,med,4,more,big,high,good
high,med,5more,more,null,med,vgood
null,low,5more,2,big,med,unacc
med,low,null,more,small,high,unacc
med,low,5more,more,big,high,unacc
low,vhigh,5more,4,small,low,unacc
vhigh,vhigh,2,more,small,low,unacc
low,low,2,2,small,med,acc
vhigh,med,3,4,big,med,unacc
high,high,4,2,big,low,unacc
,med,5more,2,small,high,unacc
low,med,3,4,med,low,acc
high,vhigh,3,more,big,med,unacc
low,vhigh,2,4,med,high,acc
high,NaN,3,4,big,med,unacc
low,vhigh,3,4,med,null,unacc
high,med,5more,more,med,med,unacc
high,vhigh,3,2,med,med,unacc
low,low,2,more,med,med,unacc
high,vhigh,4,NaN,med,,unacc
med,low,3,more,med,med,unacc
med,low,3,more,small,med,vgood
med,low,3,2,small,low,unacc
med,high,5more,4,big,low,unacc
vhigh,,3,2,med,high,unacc
low,high,3,more,big,high,acc
med,NaN,3,2,med,low,unacc
med,med,3,4,small,med,acc
med,high,2,more,small,high,unacc
vhigh,high,4,4,NaN,low,unacc
low,high,2,2,small,low,acc
high,low,2,2,big,high,
vhigh,med,3,4,big,med,unacc
med,low,4,more,big,high,unacc
med,low,,more,small,high,unacc
vhigh,low,5more,more,med,,unacc
low,med,3,,med,null,acc
low,med,2,more,big,med,acc
high,high,2,more,small,high,unacc
vhigh,low,4,2,med,med,unacc
low,low,3,2,med,high,unacc
vhigh,med,3,more,big,low,vgood
low,med,4,4,big,med,unacc
low,low,2,2,med,high,unacc
med,high,5more,4,med,low,acc
low,med,2,more,big,med,acc
low,med,4,more,small,low,unacc
vhigh,null,2,more,big,NaN,unacc
low,low,2,2,med,med,acc
low,low,5more,more,med,med,unacc
vhigh,low,4,more,big,low,acc
low,high,2,4,big,low,unacc
vhigh,low,2,2,small,null,unacc
vhigh,low,4,more,big,med,unacc
vhigh,low,4,more,,med,unacc
vhigh,med,3,2,small,NaN,unacc
med,vhigh,3,2,med,high,
med,med,3,4,big,low,unacc
med,high,3,4,med,low,unacc
med,vhigh,4,4,big,low,unacc
vhigh,vhigh,5more,4,med,low,acc
vhigh,high,2,more,big,med,unacc
vhigh,NaN,2,2,med,med,unacc
vhigh,med,4,2,med,low,unacc
med,high,2,2,small,low,acc
low,high,4,2,med,low,unacc
med,high,2,2,small,high,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,med,5more,2,small,high,unacc
low,high,4,4,small,low,unacc
vhigh,med,3,4,big,high,
low,vhigh,3,more,big,low,unacc
vhigh,med,null,4,big,low,acc
low,high,5more,4,,med,unacc
high,vhigh,5more,more,small,med,acc
high,vhigh,3,4,small,null,acc
high,vhigh,3,4,big,med,unacc
high,vhigh,2,2,big,null,acc
vhigh,high,3,more,small,high,unacc
vhigh,high,2,4,small,med,unacc
vhigh,low,3,4,med,med,unacc
high,med,4,more,small,med,vgood
low,vhigh,2,more,big,high,unacc
low,med,NaN,2,med,low,unacc
high,vhigh,2,2,med,high,unacc
vhigh,med,2,more,big,low,unacc
high,med,5more,2,small,low,unacc
med,high,2,more,small,high,acc
low,low,4,4,small,,unacc
high,vhigh,5more,2,med,low,unacc
high,low,2,,small,,acc
high,med,3,4,big,high,unacc
high,med,3,4,big,,unacc
vhigh,vhigh,5more,2,NaN,low,unacc
low,null,4,4,med,high,unacc
med,med,4,4,big,high,acc
vhigh,vhigh,2,4,med,low,acc
high,low,5more,4,med,med,unacc
high,null,4,more,big,high,unacc
high,high,3,more,small,med,unacc
high,high,5more,more,med,med,acc
low,low,5more,more,small,high,acc
high,med,4,2,small,med,unacc
med,high,4,2,small,,unacc
vhigh,med,3,more,small,med,unacc
low,high,2,,small,med,acc
high,high,3,2,small,high,
med,vhigh,4,2,,med,unacc
vhigh,vhigh,5more,more,small,med,unacc
vhigh,high,3,more,big,high,unacc
low,,2,2,big,low,unacc
vhigh,low,2,4,small,high,acc
high,med,2,2,big,high,acc
high,vhigh,3,4,big,med,unacc
med,vhigh,4,,small,,acc
med,high,3,2,big,high,unacc
null,med,3,4,big,high,unacc
low,med,5more,4,med,high,unacc
high,high,2,more,big,med,unacc
vhigh,low,2,more,small,high,acc
low,vhigh,2,2,,med,acc
vhigh,low,3,4,med,high,unacc
low,med,3,4,big,med,unacc
med,high,2,2,big,,unacc
high,high,4,,big,med,
med,med,2,more,med,low,unacc
high,high,3,4,med,low,unacc
low,high,3,more,small,high,unacc
low,vhigh,5more,2,med,low,unacc
vhigh,vhigh,3,2,small,low,unacc
low,vhigh,3,more,med,high,unacc
null,low,4,4,big,med,acc
vhigh,vhigh,2,,med,high,acc
vhigh,low,,2,small,high,acc
high,med,4,4,med,low,unacc
low,low,4,more,big,low,acc
vhigh,vhigh,3,4,med,med,unacc
high,med,4,,med,,unacc
high,med,3,4,small,low,good
med,med,2,4,big,med,unacc
vhigh,med,2,2,small,low,unacc
med,med,3,4,small,high,unacc
high,vhigh,2,null,small,high,unacc
low,low,,2,small,,unacc
vhigh,med,5more,4,med,low,unacc
vhigh,low,5more,2,small,high,unacc
high,med,2,2,NaN,med,unacc
vhigh,low,5more,4,big,med,unacc
high,high,4,2,small,high,acc
vhigh,vhigh,3,more,med,low,null
vhigh,high,3,more,med,med,unacc
low,vhigh,2,4,med,low,unacc
high,vhigh,3,more,small,high,unacc
med,med,2,2,med,med,unacc
low,high,3,,med,med,NaN
high,high,3,2,med,med,acc
vhigh,low,2,2,small,low,null
high,med,3,more,big,high,unacc
high,high,5more,more,big,low,unacc
low,vhigh,2,4,med,high,unacc
high,low,2,2,med,low,unacc
vhigh,vhigh,2,more,small,low,acc
med,vhigh,2,2,med,low,acc
med,low,null,2,small,low,unacc
vhigh,vhigh,2,4,med,med,unacc
med,low,4,more,med,high,unacc
low,,3,2,med,low,good
high,med,3,more,med,low,unacc
high,low,3,4,med,med,acc
med,med,5more,2,small,med,unacc
med,low,4,more,med,high,vgood
med,med,3,more,big,med,acc
low,high,5more,2,small,med,unacc
high,low,2,more,big,med,unacc
high,high,4,4,big,med,unacc
vhigh,high,2,2,small,med,unacc
vhigh,low,3,more,small,med,acc
low,low,5more,4,med,high,unacc
high,high,3,4,big,NaN,unacc
high,low,null,2,med,low,unacc
vhigh,med,5more,4,big,med,unacc
vhigh,high,3,NaN,med,med,good
high,low,3,2,big,low,unacc
low,high,5more,2,small,high,unacc
med,high,5more,2,med,,vgood
low,vhigh,4,more,big,med,unacc
high,low,,4,small,med,unacc
med,med,2,4,small,low,unacc
low,med,5more,2,small,med,unacc
low,med,3,NaN,small,low,unacc
high,vhigh,4,4,big,high,unacc
vhigh,med,3,null,big,high,unacc
low,med,5more,more,med,med,unacc
low,med,2,null,big,low,unacc
vhigh,low,4,2,big,high,unacc
low,,4,more,small,low,unacc
low,high,3,,,low,unacc
vhigh,med,5more,2,,low,unacc
,low,3,more,med,high,unacc
high,low,4,more,small,med,unacc
high,low,4,4,big,high,unacc
med,vhigh,5more,4,small,med,unacc
high,low,2,2,big,med,unacc
med,high,4,4,big,med,acc
med,vhigh,5more,4,small,low,unacc
med,low,4,2,small,med,unacc
vhigh,vhigh,null,2,small,high,acc
med,null,4,more,,high,acc
med,med,3,more,small,high,acc
vhigh,low,4,,med,low,
low,high,4,4,small,high,good
low,low,4,4,big,low,unacc
med,med,5more,more,small,high,unacc
high,med,2,4,,high,unacc
low,low,2,2,small,high,unacc
high,high,2,more,small,low,unacc
vhigh,low,2,more,,low,unacc
low,vhigh,4,4,big,low,unacc
vhigh,med,2,more,med,high,unacc
med,vhigh,3,2,big,,unacc
low,low,,4,med,low,acc
med,vhigh,2,4,big,low,unacc
med,vhigh,4,2,small,med,unacc
vhigh,low,3,more,big,med,unacc
low,high,5more,more,small,high,good
low,low,4,4,med,high,unacc
low,vhigh,4,more,small,high,
med,high,4,2,med,low,unacc
low,high,4,more,big,high,acc
high,med,4,2,big,low,unacc
high,vhigh,5more,4,med,low,unacc
med,low,4,4,med,med,
vhigh,low,3,2,med,low,unacc
high,med,3,more,big,high,acc
vhigh,low,3,more,big,med,unacc
low,med,4,4,big,low,acc
high,high,2,more,small,high,acc
med,med,3,4,small,low,unacc
med,vhigh,5more,2,small,low,unacc
vhigh,low,2,4,med,low,unacc
NaN,,5more,4,small,high,acc
vhigh,high,2,more,null,med,unacc
vhigh,vhigh,4,4,small,med,unacc
high,high,4,2,med,high,acc
high,high,3,2,small,low,unacc
med,high,5more,4,small,low,acc
vhigh,vhigh,3,4,med,low,unacc
high,med,5more,more,big,high,unacc
low,low,5more,2,big,low,unacc
med,high,3,2,med,low,unacc
med,high,3,2,big,low,good
low,med,5more,2,small,low,unacc
low,high,4,more,big,low,unacc
low,med,4,4,big,high,good
high,high,5more,4,small,low,unacc
low,med,2,4,big,low,unacc
med,low,2,more,big,low,vgood
high,high,5more,4,med,high,vgood
vhigh,high,4,2,med,high,unacc
low,high,5more,more,big,low,unacc
med,high,3,2,med,high,unacc
low,vhigh,4,2,med,high,unacc
vhigh,vhigh,4,2,small,high,unacc
high,high,5more,2,big,high,acc
vhigh,med,3,more,big,low,unacc
high,high,4,2,med,high,unacc
med,med,4,more,med,high,unacc
med,med,2,4,big,high,acc
med,vhigh,2,4,med,low,unacc
vhigh,low,NaN,2,small,low,unacc
low,med,2,more,small,low,unacc
NaN,high,3,4,small,low,unacc
vhigh,low,4,null,big,med,
low,vhigh,4,2,big,med,acc
vhigh,vhigh,2,more,big,med,acc
low,low,4,2,med,null,unacc
high,vhigh,4,2,big,high,unacc
med,high,2,more,med,med,unacc
low,med,3,4,small,med,unacc
vhigh,med,4,more,big,med,unacc
high,high,3,more,med,low,good
low,high,4,2,small,high,unacc
low,vhigh,4,2,small,high,unacc
vhigh,high,2,4,small,low,unacc
high,med,4,4,big,,vgood
med,high,2,2,med,med,unacc
vhigh,med,2,4,big,med,unacc
low,high,3,2,,low,unacc
med,low,5more,2,big,low,unacc
low,low,5more,more,med,low,unacc
vhigh,,3,more,small,med,unacc
,high,5more,4,big,high,unacc
med,high,2,4,small,high,acc
vhigh,vhigh,4,4,small,med,acc
vhigh,vhigh,4,2,big,high,unacc
med,high,4,4,big,high,acc
high,med,2,more,big,high,acc
low,med,5more,4,small,low,unacc
med,high,4,2,small,med,acc
vhigh,vhigh,4,2,med,low,acc
med,med,4,4,big,high,unacc
null,vhigh,3,2,big,med,unacc
high,low,,4,med,med,acc
high,,3,4,small,low,unacc
low,vhigh,3,4,med,high,unacc
med,high,2,,big,low,acc
high,low,4,4,med,med,unacc
high,med,4,more,small,low,unacc
vhigh,high,4,more,small,high,unacc
high,null,NaN,more,med,high,unacc
NaN,low,4,4,big,med,unacc
med,med,4,NaN,med,high,acc
vhigh,,4,4,med,low,good
vhigh,low,4,more,med,med,unacc
vhigh,high,4,2,small,high,
med,low,4,more,big,low,unacc
NaN,med,3,2,med,med,null
low,med,NaN,2,med,med,acc
high,low,3,null,med,med,vgood
vhigh,high,5more,2,med,med,unacc
high,null,3,,med,high,unacc
high,vhigh,2,2,small,low,unacc
low,vhigh,5more,more,med,high,unacc
,med,2,more,small,med,unacc
high,vhigh,4,more,big,high,acc
vhigh,vhigh,4,more,med,high,acc
vhigh,low,4,4,small,low,unacc
med,high,4,2,small,med,unacc
med,vhigh,2,more,small,low,unacc
med,high,2,2,med,low,unacc
vhigh,low,4,more,med,med,unacc
med,low,2,4,med,low,unacc
low,high,4,more,null,med,unacc
low,vhigh,5more,4,small,high,unacc
vhigh,high,3,more,small,low,unacc
low,med,5more,2,med,med,good
high,high,2,more,med,low,unacc
med,high,3,2,med,med,unacc
low,high,,4,small,low,unacc
med,low,2,2,med,high,unacc
low,vhigh,5more,more,big,med,unacc
med,low,5more,more,big,low,acc
vhigh,high,3,more,small,high,acc
high,low,5more,more,med,low,unacc
med,med,3,4,small,high,unacc
high,vhigh,2,2,big,med,vgood
med,vhigh,4,4,med,med,unacc
vhigh,low,2,4,med,med,unacc
high,vhigh,2,more,med,high,unacc
low,low,2,4,med,high,unacc
high,med,,4,small,low,unacc
med,high,,4,med,low,unacc
high,high,4,2,med,high,unacc
,med,4,2,small,med,unacc
high,med,5more,4,med,high,unacc
high,vhigh,3,2,null,med,unacc
high,,5more,more,big,low,unacc
low,med,2,4,big,high,unacc
high,low,2,more,med,high,unacc
med,high,5more,2,big,high,acc
med,vhigh,5more,2,small,med,acc
high,low,NaN,2,small,med,unacc
high,,4,more,med,high,unacc
,vhigh,3,4,big,low,acc
vhigh,med,3,more,,med,unacc
med,high,3,more,small,med,unacc
low,med,2,2,small,null,unacc
med,,5more,4,small,high,unacc
med,med,5more,more,big,high,acc
high,med,5more,4,small,high,unacc
med,vhigh,2,4,small,low,unacc
,high,2,2,small,low,acc
vhigh,med,4,2,small,,unacc
vhigh,med,5more,4,med,high,unacc
low,low,,more,small,low,acc
vhigh,med,5more,4,med,med,acc
vhigh,vhigh,2,4,big,high,acc
med,NaN,5more,4,big,high,unacc
low,high,5more,2,small,med,unacc
high,vhigh,2,4,big,high,
low,vhigh,2,2,small,high,good
low,low,4,2,big,low,unacc
high,vhigh,2,more,small,high,vgood
high,med,3,more,small,low,unacc
high,low,3,4,big,high,good
med,low,3,4,,med,unacc
med,vhigh,5more,4,big,high,acc
med,high,2,more,big,low,unacc
vhigh,high,5more,NaN,med,high,unacc
high,high,2,more,med,med,unacc
med,high,,more,small,med,acc
med,vhigh,5more,2,big,med,unacc
low,med,4,more,small,med,unacc
med,med,2,more,big,high,acc
high,low,3,4,small,low,acc
high,med,3,2,big,high,vgood
vhigh,high,2,2,med,low,unacc
vhigh,low,3,2,big,med,unacc
low,high,2,4,big,med,good
vhigh,low,3,4,big,med,unacc
high,low,4,4,med,low,acc
vhigh,low,3,more,med,med,good
vhigh,vhigh,2,more,small,med,
med,high,5more,2,med,high,acc
high,vhigh,5more,2,big,low,good
low,vhigh,3,4,small,low,unacc
vhigh,low,4,4,med,high,unacc
vhigh,high,3,4,big,med,unacc
low,med,5more,more,med,low,good
low,high,5more,2,big,low,unacc
high,low,5more,more,small,null,vgood
low,low,2,more,small,low,unacc
vhigh,low,5more,more,big,low,unacc
high,high,4,2,small,high,unacc
high,low,5more,,small,high,unacc
low,low,5more,more,med,high,acc
high,high,5more,2,big,low,unacc
vhigh,med,5more,more,big,med,unacc
vhigh,vhigh,3,,small,high,unacc
vhigh,vhigh,3,2,,null,unacc
high,vhigh,2,4,med,low,acc
low,med,3,2,med,med,unacc
vhigh,med,3,more,small,low,unacc
med,low,2,2,small,med,acc
low,med,3,NaN,small,low,unacc
high,low,4,NaN,med,low,acc
vhigh,vhigh,2,4,med,low,acc
high,vhigh,4,more,big,low,acc
vhigh,med,4,more,big,high,unacc
NaN,vhigh,4,4,small,high,unacc
med,med,2,more,med,low,acc
high,vhigh,3,4,null,low,unacc
high,high,3,4,big,,acc
high,med,2,2,small,high,unacc
vhigh,high,2,4,big,high,acc
low,low,4,2,small,high,unacc
high,,3,more,med,med,unacc
low,low,3,more,med,med,unacc
vhigh,low,4,2,big,high,good
high,low,5more,more,med,null,unacc
null,vhigh,5more,more,null,low,acc
low,high,5more,,med,low,unacc
vhigh,vhigh,3,more,med,low,unacc
vhigh,med,5more,2,big,med,
low,vhigh,2,2,med,high,unacc
vhigh,vhigh,4,4,small,high,unacc
low,high,4,more,big,low,unacc
low,vhigh,5more,more,med,high,acc
high,vhigh,2,4,med,high,unacc
high,med,2,more,big,med,unacc
vhigh,vhigh,,more,small,low,
null,high,5more,more,big,med,unacc
vhigh,med,5more,more,big,med,unacc
NaN,med,2,4,small,med,acc
med,low,2,more,big,med,null
high,low,4,more,big,med,vgood
low,low,2,4,small,med,unacc
med,vhigh,3,2,med,NaN,unacc
med,high,2,more,med,high,unacc
low,high,2,4,med,med,acc
vhigh,low,5more,2,small,med,unacc
vhigh,vhigh,2,more,med,,acc
med,high,4,more,big,high,acc
med,vhigh,4,4,big,med,good
low,low,5more,2,small,high,unacc
low,vhigh,5more,more,small,low,unacc
med,med,5more,4,big,high,
low,low,2,4,small,med,acc
vhigh,vhigh,4,2,med,high,unacc
high,high,3,4,med,med,unacc
med,med,3,4,big,high,unacc
high,vhigh,3,more,big,med,unacc
low,high,3,2,small,high,NaN
,med,4,4,small,med,NaN
med,med,3,more,,med,unacc
low,med,4,2,med,med,unacc
high,med,5more,4,big,high,acc
vhigh,vhigh,4,4,med,med,acc
med,low,5more,4,big,low,acc
med,low,2,more,small,low,acc
med,vhigh,2,more,med,high,acc
med,low,3,more,med,med,unacc
low,high,2,more,small,med,unacc
vhigh,high,,more,small,med,unacc
vhigh,vhigh,3,more,small,low,unacc
high,vhigh,2,4,small,med,unacc
med,low,5more,4,med,low,unacc
med,med,2,2,med,high,unacc
high,med,3,4,med,low,unacc
low,low,4,2,big,high,unacc
vhigh,med,2,2,big,high,acc
med,low,4,4,null,med,unacc
high,low,5more,2,small,low,unacc
NaN,med,4,2,,high,unacc
high,high,2,2,med,med,acc
high,null,3,4,small,med,unacc
low,high,4,more,med,low,unacc
vhigh,vhigh,3,more,small,high,acc
med,med,2,more,small,high,acc
vhigh,vhigh,5more,,med,low,unacc
low,low,2,2,big,med,vgood
med,med,5more,more,small,med,null
vhigh,vhigh,2,2,med,high,acc
low,med,4,more,med,high,acc
med,vhigh,4,more,med,low,unacc
NaN,low,3,2,med,med,unacc
high,high,5more,2,med,low,acc
high,vhigh,2,more,big,high,vgood
low,vhigh,2,more,big,low,unacc
med,vhigh,2,more,small,low,unacc
vhigh,low,3,2,big,med,acc
med,low,3,2,med,low,unacc
,vhigh,2,2,big,high,unacc
,vhigh,5more,2,small,low,unacc
med,high,4,more,small,med,unacc
,high,4,2,big,high,good
high,high,2,2,med,high,unacc
vhigh,med,5more,2,NaN,low,acc
high,vhigh,4,4,null,NaN,unacc
vhigh,med,2,4,small,NaN,unacc
high,low,2,more,,low,unacc
low,med,2,more,med,high,
vhigh,low,2,more,big,high,unacc
med,med,,more,small,med,null
low,high,2,more,small,med,acc
low,vhigh,3,4,big,low,unacc
vhigh,high,3,4,big,med,acc
low,low,5more,more,small,med,acc
high,med,4,4,big,low,unacc
high,null,2,more,big,med,acc
vhigh,med,2,2,big,high,acc
low,med,4,more,med,low,unacc
med,high,4,more,small,low,unacc
vhigh,high,4,2,med,low,unacc
vhigh,high,3,2,med,high,acc
low,low,4,2,med,high,unacc
high,high,3,more,med,med,acc
low,vhigh,3,more,small,med,acc
med,med,3,2,med,high,unacc
med,low,NaN,more,small,high,acc
med,vhigh,3,4,med,low,unacc
med,low,3,4,big,null,acc
vhigh,vhigh,2,more,med,med,unacc
med,low,5more,4,small,high,unacc
med,med,3,2,big,high,unacc
,low,,4,,,acc
low,med,,more,med,high,acc
null,low,3,more,small,low,acc
high,low,4,more,small,high,acc
high,vhigh,2,2,big,med,good
med,med,5more,more,big,med,unacc
,vhigh,4,more,big,,acc
vhigh,low,2,2,big,low,acc
low,low,3,more,small,high,
vhigh,med,3,4,big,high,unacc
low,med,2,2,big,,unacc
high,high,5more,2,big,,unacc
high,NaN,4,4,med,med,vgood
med,vhigh,4,more,big,low,unacc
high,med,5more,4,big,low,unacc
high,low,2,more,small,med,unacc
high,med,5more,more,big,high,unacc
low,high,5more,4,med,med,unacc
high,low,5more,2,small,med,NaN
vhigh,med,2,2,null,null,unacc
,low,3,4,NaN,high,acc
low,low,5more,more,big,low,unacc
vhigh,med,2,more,med,low,acc
low,high,3,2,big,med,unacc
high,high,5more,2,big,med,unacc
low,high,4,more,med,low,unacc
low,high,5more,4,small,med,unacc
med,med,4,2,big,high,unacc
low,low,3,2,small,med,unacc
low,low,4,more,med,med,vgood
med,high,5more,2,null,high,acc
low,vhigh,3,2,med,low,unacc
low,high,5more,more,med,high,unacc
vhigh,low,3,2,med,high,unacc
vhigh,low,2,4,big,low,unacc
low,low,5more,2,small,NaN,unacc
low,vhigh,2,more,small,low,unacc
,med,2,2,small,NaN,unacc
vhigh,med,3,more,med,low,unacc
high,low,5more,2,big,med,unacc
low,high,5more,more,med,med,unacc
high,med,3,4,small,high,null
high,low,2,more,med,med,acc
med,vhigh,2,more,big,high,
med,low,3,4,small,med,unacc
low,low,2,4,med,,acc
vhigh,high,3,2,med,med,acc
low,vhigh,5more,NaN,med,high,unacc
vhigh,vhigh,4,4,med,med,acc
med,high,3,more,big,low,unacc
vhigh,high,4,more,big,high,unacc
high,low,4,more,small,med,NaN
high,,3,more,med,high,unacc
med,low,4,null,small,low,
low,low,2,2,big,low,unacc
vhigh,high,2,4,big,high,unacc
low,low,2,more,med,med,unacc
vhigh,low,4,4,med,,unacc
med,high,3,4,big,low,unacc
high,med,3,4,med,med,acc
high,med,3,4,big,low,acc
vhigh,high,2,2,big,med,unacc
low,,3,more,small,med,unacc
med,high,2,more,med,med,acc
med,NaN,2,more,small,med,acc
low,med,5more,2,big,high,good
high,high,5more,2,small,med,good
low,med,2,4,big,med,unacc
high,low,2,more,med,high,unacc
vhigh,med,3,more,small,med,unacc
med,vhigh,2,4,,high,unacc
vhigh,high,2,null,med,low,
low,med,4,2,med,high,unacc
low,low,5more,more,small,low,acc
vhigh,high,3,4,big,low,unacc
low,low,3,4,med,high,unacc
low,vhigh,5more,4,med,med,
low,vhigh,2,4,med,high,unacc
med,vhigh,2,4,med,high,unacc
med,vhigh,,more,big,high,unacc
high,high,5more,2,small,low,unacc
med,low,5more,more,big,low,unacc
vhigh,low,2,more,big,low,acc
vhigh,low,2,4,med,med,unacc
med,med,4,2,big,low,unacc
vhigh,high,3,more,big,,vgood
NaN,high,3,4,,high,unacc
med,med,2,2,med,NaN,acc
high,vhigh,5more,2,small,high,unacc
high,low,null,NaN,small,low,acc
med,high,,2,small,low,acc
vhigh,vhigh,3,more,big,high,acc
med,med,null,more,med,med,null
med,low,4,4,big,med,unacc
high,low,4,4,small,low,unacc
,med,2,2,small,low,acc
low,med,4,,big,low,unacc
med,vhigh,3,2,med,low,unacc
high,vhigh,5more,4,small,low,acc
high,med,5more,2,big,med,unacc
med,vhigh,3,2,small,,acc
med,vhigh,3,4,med,high,unacc
med,med,3,4,med,med,unacc
low,vhigh,4,2,big,low,unacc
med,high,4,more,big,high,acc
high,med,null,more,small,low,acc
med,low,NaN,2,med,med,acc
high,med,3,2,big,,unacc
high,med,5more,,small,low,unacc
vhigh,vhigh,2,more,big,high,unacc
high,med,3,more,med,low,unacc
vhigh,vhigh,2,2,med,med,vgood
med,vhigh,NaN,4,big,med,unacc
vhigh,high,4,more,small,med,unacc
low,vhigh,4,4,big,high,unacc
low,low,5more,4,small,high,unacc
low,low,3,2,big,high,unacc
med,high,3,2,med,low,acc
high,high,3,more,med,low,unacc
low,high,5more,4,big,high,unacc
vhigh,high,3,more,big,med,good
med,high,3,2,big,high,unacc
,low,5more,4,big,low,unacc
vhigh,vhigh,2,more,med,low,good
vhigh,vhigh,4,4,small,med,unacc
med,null,3,more,small,med,unacc
med,vhigh,4,more,small,med,unacc
high,vhigh,3,4,big,med,unacc
med,high,5more,4,big,low,unacc
vhigh,med,4,4,small,high,good
med,low,4,2,med,low,acc
med,vhigh,3,more,med,low,unacc
vhigh,vhigh,5more,more,big,med,unacc
high,low,4,4,small,high,unacc
med,low,5more,2,small,high,acc
low,med,2,2,small,low,unacc
low,vhigh,3,more,big,high,vgood
vhigh,vhigh,5more,more,big,high,unacc
vhigh,med,3,more,small,high,unacc
vhigh,low,5more,more,big,low,acc
low,high,5more,more,small,med,unacc
vhigh,high,,2,big,high,
low,vhigh,3,more,small,med,acc
,low,4,4,small,low,unacc
vhigh,null,3,4,big,high,acc
med,low,3,more,small,low,unacc
high,low,5more,4,small,low,unacc
low,high,5more,more,big,high,acc
vhigh,high,2,2,small,,unacc
med,vhigh,3,2,null,high,unacc
low,med,2,more,small,high,unacc
high,med,5more,2,small,low,unacc
med,high,5more,2,small,med,unacc
high,high,5more,2,big,low,NaN
vhigh,vhigh,5more,more,big,med,unacc
med,med,5more,2,small,null,unacc
